################ (Airport Name : PR) ################
(Chicago Ohare Intl, United States : 0.005578354333089657)
(Los Angeles Intl, United States : 0.005571968558299755)
(Denver Intl, United States : 0.0055487924104460976)
(Heathrow, United Kingdom : 0.004354686287282237)
(Hartsfield Jackson Atlanta Intl, United States : 0.004277581564821632)
(Charles De Gaulle, France : 0.004216822683511117)
(Capital Intl, China : 0.004204749190120967)
(Changi Intl, Singapore : 0.004203631222052117)
(Frankfurt Main, Germany : 0.004108498227466836)
(Sydney Intl, Australia : 0.0039484086349649145)
(Dallas Fort Worth Intl, United States : 0.003855245623936518)
(John F Kennedy Intl, United States : 0.003829262470067072)
(Schiphol, Netherlands : 0.0037845331991672487)
(Domododevo, Russia : 0.003688331935293804)
(Lester B Pearson Intl, Canada : 0.0035123393832302507)
(Incheon Intl, South Korea : 0.0034880310133827)
(Dubai Intl, United Arab Emirates : 0.003485498834771599)
(Pudong, China : 0.003296499431958135)
(Ataturk, Turkey : 0.0032665144465004116)
(Barcelona, Spain : 0.0032569821792737333)
(Hong Kong Intl, Hong Kong : 0.0031306505879590933)
(Eldorado Intl, Colombia : 0.0029941663245319416)
(Suvarnabhumi Intl, Thailand : 0.002967924954323654)
(Miami Intl, United States : 0.002929998601401473)
(Licenciado Benito Juarez Intl, Mexico : 0.0029141459926365068)
(Fiumicino, Italy : 0.002903099018031259)
(Brisbane Intl, Australia : 0.00285701879204448)
(Gatwick, United Kingdom : 0.0028354261045148163)
(San Francisco Intl, United States : 0.0028243305328165377)
(Franz Josef Strauss, Germany : 0.0028054291518225826)
(George Bush Intercontinental, United States : 0.0027942311003388075)
(Kuala Lumpur Intl, Malaysia : 0.0027752292231490476)
(Barajas, Spain : 0.0027630943520541512)
(Indira Gandhi Intl, India : 0.0027544633833611735)
(Charlotte Douglas Intl, United States : 0.0027412943053421687)
(Seattle Tacoma Intl, United States : 0.00273841159368343)
(Minneapolis St Paul Intl, United States : 0.0027309029343418603)
(Narita Intl, Japan : 0.0026933764761142244)
